,Weapon Name,Kills Per Match,Headshot,Bodyshot,Legshot,Damage Per Round
0,Vandal,10.1,17.1%,75.9%,7%,122
1,Phantom,6.5,15.7%,76.3%,8%,122
2,Odin,4.2,15.3%,77.3%,7.4%,121
3,Spectre,3.4,15.1%,74.5%,10.4%,94
4,Operator,2.7,14.7%,83.9%,1.4%,153
5,Ghost,2.1,19.8%,72.7%,7.4%,85
6,Frenzy,1.7,14.3%,74.4%,11.3%,83
7,Bulldog,1.5,22.1%,71.8%,6%,119
8,Sheriff,1.4,21.3%,72.7%,6.1%,105
9,Classic,1.4,16.9%,77%,6.1%,76
10,Judge,1.4,12.4%,74.5%,13.1%,99
11,Ares,1.3,5.7%,74.7%,19.5%,90
12,Guardian,1.2,28.2%,64.1%,7.7%,130
13,Marshal,0.8,15.5%,83.1%,1.4%,110
14,Bucky,0.8,19.2%,70.7%,10.1%,85
15,Shorty,0.7,12.3%,68.1%,19.6%,103
16,Stinger,0.6,20.2%,73%,6.7%,84
